1704232800,1.09391,1.09431,1.09381,1.09409,1563,21.14433055378301,7.048110184594337,0.001471891037603688
1704236400,1.09409,1.09437,1.09406,1.09414,1477,48.49380538320827,23.212711978997092,0.0013888988206319983
1704240000,1.09414,1.09504,1.09411,1.09494,2869,81.8271387165416,50.488424884510955,0.0013561203334440054
1704243600,1.09494,1.09548,1.09449,1.09514,4929,94.01614149609192,74.77902853194726,0.0013299688810551513
1704247200,1.09514,1.09532,1.09486,1.09522,3188,100,91.94776007087785,0.0012678282466940783
1704250800,1.09522,1.09622,1.09487,1.09609,3978,100,98.0053804986973,0.0012736976576444986
1704254400,1.09609,1.0962399999999999,1.09588,1.0962399999999999,2525,100,100,0.0012084335392413142
1704258000,1.0962399999999999,1.09628,1.09512,1.09512,3964,91.27699882426577,97.09233294142193,0.0012049740007240653
1704261600,1.09512,1.09608,1.09511,1.09588,3824,91.27699882426577,94.18466588284384,0.0011881901435294832
1704265200,1.09588,1.09626,1.09515,1.09602,8476,91.27699882426577,91.27699882426577,0.0011826051332773733
1704268800,1.09602,1.09654,1.09503,1.09526,12784,94.16511931084544,92.23970565312567,0.0012059904809004266
1704272400,1.09526,1.0956299999999999,1.09347,1.0936299999999999,10917,77.82889198841184,87.75700337450769,0.0012741340179789633
1704276000,1.0936299999999999,1.0939,1.09261,1.09279,8472,56.95099101843899,76.31500077256543,0.0012752673024090384
1704279600,1.09279,1.09297,1.09155,1.09195,9585,35.98920307924811,56.92302869536632,0.0012856053522369625
1704283200,1.09195,1.09321,1.09144,1.09167,10443,23.501055366420857,38.81374982136932,0.0013202049699343257
1704286800,1.09167,1.09301,1.09101,1.09216,16914,19.871603075828574,26.453953840499185,0.0013687617577961598
1704290400,1.09216,1.09265,1.09097,1.09149,18606,17.520677129217727,20.29777852382239,0.001390993060810713
1704294000,1.09149,1.09386,1.0897999999999999,1.09044,34232,13.011718831145258,16.801333012063857,0.00158163641360996
1704297600,1.09044,1.09182,1.09027,1.09082,17597,10.700357524332508,13.744251161565169,0.001579376669780673
1704301200,1.09082,1.09101,1.09032,1.09066,10065,11.99933475742886,11.903803704302213,0.0015158497647963446
1704304800,1.09066,1.09148,1.09026,1.09051,9184,16.479218762701606,13.059637014820993,0.0014947176387394626
1704308400,1.09051,1.09257,1.08926,1.09177,25973,36.46536824385416,21.647973921328212,0.001624380664543797
1704312000,1.09177,1.09232,1.09149,1.09211,13011,62.82621924769705,38.590268751417604,0.0015676391885049465
1704315600,1.09211,1.09235,1.09189,1.0921399999999999,3259,91.67966857575762,63.6570853557696,0.0014885221036117292
1704319200,1.0921399999999999,1.09224,1.09141,1.09208,1434,97.84397657745392,84.11662146696953,0.0014414848104966134
1704322800,1.09208,1.09276,1.09208,1.09259,1947,99.33174291547095,96.2851293562275,0.001387093038318285
1704326400,1.09259,1.09266,1.09193,1.09224,3455,95.80866976948842,97.66146308747109,0.001340157821295543
1704330000,1.09224,1.09242,1.0916299999999999,1.09177,4897,88.38969691209445,94.5100365323513,0.001300860834060152
1704333600,1.09177,1.092,1.09159,1.09193,3373,82.83558622231003,89.01131763463097,0.0012372279173415712
1704337200,1.09193,1.09306,1.09193,1.09262,3784,86.35865936829258,85.8613141675657,0.0012295687803885913
1704340800,1.09262,1.09285,1.09245,1.0926,2779,94.23753520924812,87.81059359995025,0.0011703138675037048
1704344400,1.0926,1.09268,1.0922,1.09265,4338,99.79164589903253,93.4626134921911,0.0011210057341105857
1704348000,1.09265,1.09346,1.09208,1.09324,6062,99.79164589903253,97.9402756691044,0.0011395053245312693
1704351600,1.09324,1.09437,1.09295,1.09375,10694,100,99.8610972660217,0.00115954065849332
1704355200,1.09375,1.09561,1.09345,1.09532,15264,100,99.93054863301086,0.001231002040029507
1704358800,1.09532,1.09691,1.09451,1.09674,13008,100,100,0.0013145018943131106
1704362400,1.09674,1.09722,1.09543,1.09555,9778,90.5025236277409,96.8341745425803,0.00134846604471933
1704366000,1.09555,1.09578,1.09461,1.09478,6722,75.72298654900573,88.74183672558222,0.0013357184700965132
1704369600,1.09478,1.09558,1.09467,1.09523,7410,63.28545412270412,76.50365476648359,0.0013053100079467599
1704373200,1.09523,1.09552,1.09327,1.09469,18692,56.685318308627444,65.23125299344578,0.0013727878645219975
1704376800,1.09469,1.09505,1.09381,1.09452,18665,54.224431593264576,58.06506800819872,0.0013633030170561498
1704380400,1.09452,1.09652,1.0945,1.0955,19346,54.37666979692319,55.09547323293841,0.0014102099444092756
1704384000,1.0955,1.09638,1.09542,1.09562,12627,56.24314617832359,54.948082522837126,0.0013780520912371737
1704387600,1.09562,1.09598,1.09419,1.09503,8547,53.6340621216873,54.751292698978034,0.0014074769418630868
1704391200,1.09503,1.09543,1.09459,1.09469,6627,42.5598642115118,50.8123575038409,0.0013669428745871487
1704394800,1.09469,1.09498,1.09433,1.09469,5617,27.482894548762214,41.22560696065378,0.001315732669259498
1704398400,1.09469,1.09493,1.09429,1.09492,6819,16.987934973712115,29.010231244662048,0.001267466050026675
1704402000,1.09492,1.09501,1.09434,1.09444,2770,7.014093773197284,17.161641098557205,0.0012247899035961946
1704405600,1.09444,1.09497,1.0942399999999999,1.09467,3217,5.89524355607194,9.965757434327115,0.0011894477676250464
1704409200,1.09467,1.09489,1.09431,1.09463,1060,7.3411353608202035,6.750157563363143,0.001145915784223259
1704412800,1.09463,1.09515,1.09443,1.09508,4160,25.81824961703559,13.018209511309246,0.0011154932282073158
1704416400,1.09508,1.09559,1.095,1.09515,5522,43.42876136216964,25.52938211334181,0.0010779579976210854
1704420000,1.09515,1.09542,1.09465,1.09467,3436,42.413201001074135,37.22007066009312,0.0010559609977910192
1704423600,1.09467,1.09471,1.0939,1.09391,3760,23.936086744858752,36.592683036034174,0.001038392355091659
1704427200,1.09391,1.0941,1.09364,1.09372,2583,3.419197351201691,23.256161699044856,0.0009970786154422638
1704430800,1.09372,1.09382,1.09341,1.09373,3856,0.21748832507999158,9.190924140380142,0.0009551444286249607
1704434400,1.09373,1.09374,1.09245,1.09276,5679,0.21748832507999158,1.2847246671205534,0.0009790626837231787
1704438000,1.09276,1.09333,1.09225,1.09231,7298,0.21748832507999158,0.21748832507998708,0.0009862724920286637
1704441600,1.09231,1.0925799999999999,1.09033,1.09076,11447,6.5133084111342514e-15,0.14499221671999205,0.001076538742598035
1704445200,1.09076,1.09305,1.09027,1.09125,10817,5.715600019682829,1.9776961149209422,0.0011982145466981758
1704448800,1.09125,1.09138,1.09036,1.09128,8441,11.78136653320085,5.832322184294561,0.0011854849362197362
1704452400,1.09128,1.09176,1.09101,1.0914,6907,19.32112323987448,12.272696597586055,0.0011543788693469
1704456000,1.0914,1.09208,1.0913599999999999,1.09176,7379,25.555351477456814,18.885947083510718,0.0011233518072506967
1704459600,1.09176,1.09278,1.08767,1.09211,37744,35.55298590822425,26.809820208518516,0.0014081123924470878
1704463200,1.09211,1.09548,1.09211,1.0949,33860,61.34656253488394,40.81829997352167,0.001548247221558017
1704466800,1.0949,1.09984,1.0949,1.09782,43373,82.7300676109521,59.87653868468677,0.001790515277161012
1704470400,1.09782,1.09806,1.0953,1.0956,20053,90.28070805790757,78.11911273458121,0.0018597641859352321
1704474000,1.0956,1.09561,1.09432,1.09462,15362,77.06912865327239,83.35996810737736,0.0018190667440827165
1704477600,1.09462,1.0956299999999999,1.09352,1.0954,10625,66.11028295538459,77.82003988885485,0.0018398476909339391
1704481200,1.0954,1.0959699999999999,1.0943,1.09452,10386,61.79482892294214,68.32474684386638,0.0018277157130100747
1704484800,1.09452,1.09472,1.09357,1.09392,5985,58.97847685293035,62.294529577085704,0.001779307447795068
1704488400,1.09392,1.0949,1.09369,1.09409,2326,54.48458473421612,58.41929683669621,0.0017386426300954156
1704664800,1.09432,1.09453,1.09415,1.09444,1021,52.49312951535347,55.31873036749999,0.0016458824422314572
1704668400,1.09444,1.09449,1.09349,1.09417,1832,51.19623284014568,52.724649029905095,0.0015997479820720594
1704672000,1.09417,1.09492,1.09402,1.09486,2581,51.688874098067544,51.79274548452224,0.0015497659833526196
1704675600,1.09486,1.0953,1.0947,1.0948,4272,50.73887835636943,51.207995098194225,0.001481925555970285
1704679200,1.0948,1.0948,1.0936,1.09371,3769,42.61554501653233,48.34776582365644,0.0014617880162581284
1704682800,1.09371,1.09392,1.09313,1.0933,3465,24.242308241879186,39.19891053826032,0.0014138031579539812
1704686400,1.0933,1.09372,1.09305,1.09341,3140,8.757238538432173,25.2050305989479,0.0013606743609572646
1704690000,1.09341,1.09374,1.09321,1.09374,3749,8.142806164157578,13.714117648156313,0.00130134047803174
1704693600,1.09374,1.09467,1.09362,1.0945799999999999,3972,31.691433624807445,16.197159442465733,0.0012833875867437584
1704697200,1.0945799999999999,1.09522,1.09394,1.09452,9409,53.170264249270616,31.001501346078545,0.0012831456162620736
1704700800,1.09452,1.09454,1.0929,1.09337,14478,47.10487977225177,43.98885921544328,0.001308635215100503
1704704400,1.09337,1.0942399999999999,1.09226,1.0937,10637,33.10780009032806,44.46098137061682,0.0013565898425933148
1704708000,1.0937,1.09435,1.09341,1.09425,9781,33.80172094406752,38.004800268882455,0.0013268334252652166
1704711600,1.09425,1.09506,1.09367,1.09379,9212,44.21620928014494,37.04191010484684,0.0013313453234605585
1704715200,1.09379,1.09482,1.09372,1.09446,9166,62.73527858175857,46.917736268657,0.0013148206574990814
1704718800,1.09446,1.09562,1.09425,1.09508,15564,73.02379374209859,59.99176053466736,0.0013187620391062963
1704722400,1.09508,1.09626,1.09493,1.09602,19812,94.73728374700646,76.83211869028787,0.0013195647505987074
1704726000,1.09602,1.09745,1.09552,1.09695,16109,100,89.25369249636834,0.0013631672684130847
1704729600,1.09695,1.09788,1.09683,1.09754,13387,100,98.24576124900216,0.0013407981778121498